Player,Decade,URL,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
Haroldo Domingues,1910s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Juan Domingo Brown,1910s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Carlos Izaguirre,1910s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Jose¸ PÇ¸rez,1910s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Manuel Varela,1910s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AmÇðlcar Barbuy,1910s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Jose Tognola,1910s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hector Scarone,1910s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,2,2,3,3,3,3,4,9,9,15,18,21,21,22,22,22,22,22,22,22,22,22,22
Pedro Calomino,1910s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jose¸ Durand Laguna,1910s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jos¸ Piendibene,1910s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jose¸ Piendibene,1910s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Alberto Marcovecchio,1910s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TelÇ¸sforo BÇ­ez,1910s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Neco,1910s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,2,2,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Arthur Friedenreich,1910s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,1,1,1,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Angel Romano,1910s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,4,4,4,7,9,9,9,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Alberto Ohaco,1910s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Caetano Izzo,1910s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carlos Scarone,1910s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Adolpho MillÇün Junior,1910s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Edwin Clarcke,1910s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Heitor,1910s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Silvio Lagreca,1910s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Isabelino GradÇðn,1910s,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Antonio Blanco,1910s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DemÇüstenes Correia de Syllos,1910s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alfredo France,1910s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manoel Alencar Monte,1910s,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hernando Salazar,1910s,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Luis GarcÇða,1910s,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gerardo Rivas,1920s,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,0,0,0,0,0,1,2,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Jose¸ Maria Yermo,1920s,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
Juan CarreÇño,1920s,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2
Enrico Rivolta,1920s,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
