Country,Player,Year,Own_goal
Uruguay,Jos¸ Piendibene,1916,FALSE
Uruguay,Isabelino GradÇðn,1916,FALSE
Uruguay,Isabelino GradÇðn,1916,FALSE
Uruguay,Jose¸ Piendibene,1916,FALSE
Argentina,Alberto Ohaco,1916,FALSE
Chile,TelÇ¸sforo BÇ­ez,1916,FALSE
Argentina,Juan Domingo Brown,1916,FALSE
Argentina,Juan Domingo Brown,1916,FALSE
Argentina,Alberto Marcovecchio,1916,FALSE
Argentina,Alberto Ohaco,1916,FALSE
Argentina,Alberto Marcovecchio,1916,FALSE
Brazil,DemÇüstenes Correia de Syllos,1916,FALSE
Chile,Hernando Salazar,1916,FALSE
Argentina,Jose¸ Durand Laguna,1916,FALSE
Brazil,Manoel Alencar Monte,1916,FALSE
Brazil,Arthur Friedenreich,1916,FALSE
Uruguay,Isabelino GradÇðn,1916,FALSE
Uruguay,Jose Tognola,1916,FALSE
Uruguay,Carlos Scarone,1917,FALSE
Uruguay,Angel Romano,1917,FALSE
Uruguay,Carlos Scarone,1917,FALSE
Uruguay,Angel Romano,1917,FALSE
Brazil,Neco,1917,FALSE
Argentina,Pedro Calomino,1917,FALSE
Brazil,Silvio Lagreca,1917,FALSE
Argentina,Alberto Ohaco,1917,FALSE
Argentina,Alberto Ohaco,1917,FALSE
Argentina,Antonio Blanco,1917,FALSE
Argentina,Luis GarcÇða,1917,TRUE
Uruguay,Hector Scarone,1917,FALSE
Uruguay,Angel Romano,1917,FALSE
Uruguay,Angel Romano,1917,FALSE
Uruguay,Carlos Scarone,1917,FALSE
Brazil,Caetano Izzo,1917,FALSE
Brazil,Neco,1917,FALSE
Brazil,Haroldo Domingues,1917,FALSE
Brazil,AmÇðlcar Barbuy,1917,FALSE
Brazil,Haroldo Domingues,1917,FALSE
Uruguay,Hector Scarone,1917,FALSE
Brazil,Arthur Friedenreich,1919,FALSE
Brazil,Neco,1919,FALSE
Brazil,Arthur Friedenreich,1919,FALSE
Brazil,Arthur Friedenreich,1919,FALSE
Brazil,Haroldo Domingues,1919,FALSE
Brazil,Neco,1919,FALSE
Uruguay,Carlos Scarone,1919,FALSE
Uruguay,Hector Scarone,1919,FALSE
Argentina,Carlos Izaguirre,1919,FALSE
Argentina,Manuel Varela,1919,TRUE
Uruguay,Isabelino GradÇðn,1919,FALSE
Uruguay,Carlos Scarone,1919,FALSE
Uruguay,Jose¸ PÇ¸rez,1919,FALSE
Brazil,Heitor,1919,FALSE
Brazil,AmÇðlcar Barbuy,1919,FALSE
Argentina,Carlos Izaguirre,1919,FALSE
Brazil,Adolpho MillÇün Junior,1919,FALSE
Argentina,Edwin Clarcke,1919,FALSE
Argentina,Carlos Izaguirre,1919,FALSE
Argentina,Edwin Clarcke,1919,FALSE
Chile,Alfredo France,1919,FALSE
Argentina,Edwin Clarcke,1919,FALSE
Uruguay,Isabelino GradÇðn,1919,FALSE
Uruguay,Carlos Scarone,1919,FALSE
Brazil,Neco,1919,FALSE
Brazil,Neco,1919,FALSE
Brazil,Arthur Friedenreich,1919,FALSE
Brazil,Ismael Alvariza,1920,FALSE
Uruguay,Jose¸ Piendibene,1920,FALSE
Argentina,RaulEcheverrÇða,1920,FALSE
Uruguay,Angel Romano,1920,FALSE
Uruguay,Antonio UrdinarÇ­n,1920,FALSE
Uruguay,Jose¸ PÇ¸rez,1920,FALSE
Uruguay,Antonio Campolo,1920,FALSE
